movieNm,startDate,endDate,salesAmt,audiCnt
뒤틀린 집,20220418,20230504,286252800.0,29964.0
듄,20220418,20230504,183709200.0,12772.0
드래곤볼 슈퍼: 슈퍼 히어로,20220418,20230504,160833689.0,14732.0
드림,20220418,20230504,7142404657.0,749954.0
똑똑똑,20220418,20230504,229529216.0,23938.0
뜨거운 피,20220418,20230504,112936500.0,13501.0
뜨거운 피: 디 오리지널,20220418,20230504,103102200.0,12745.0
라라랜드,20220418,20230504,19314392.0,2897.0
라이스보이 슬립스,20220418,20230504,89605331.0,10894.0
라일 라일 크로커다일,20220418,20230504,408940744.0,42040.0
렌필드,20220418,20230504,431559697.0,45418.0
로보카폴리 안전교실 교통편,20220418,20230504,10800000.0,1800.0
로스트 시티,20220418,20230504,988374250.0,107385.0
루이스 웨인: 사랑을 그린 고양이 화가,20220418,20230504,5600800.0,565.0
룸 쉐어링,20220418,20230504,100927060.0,11844.0
리멤버,20220418,20230504,3915431062.0,405676.0
리미트,20220418,20230504,588799102.0,62725.0
리바운드,20220418,20230504,6507265156.0,677584.0
마녀(魔女) Part2. The Other One,20220418,20230504,28814898740.0,2795796.0
마루이 비디오,20220418,20230504,1559211500.0,151389.0
말임씨를 부탁해,20220418,20230504,29824740.0,4235.0
매스,20220418,20230504,53802700.0,5905.0
멍뭉이,20220418,20230504,1556446255.0,164904.0
메간,20220418,20230504,2100844854.0,207087.0
멘,20220418,20230504,11185000.0,2114.0
명탐정 코난: 할로윈의 신부,20220418,20230504,4877315966.0,468869.0
모나리자와 블러드 문,20220418,20230504,114394122.0,12906.0
모비우스,20220418,20230504,70020770.0,7753.0
모어,20220418,20230504,10107700.0,1373.0
몬스터 신부: 101번째 프로포즈,20220418,20230504,254356600.0,27996.0
몬스터 싱어: 매직 인 파리,20220418,20230504,103606120.0,11752.0
몬스터 아카데미,20220418,20230504,28381300.0,3859.0
무명,20220418,20230504,162915639.0,18434.0
문맨,20220418,20230504,10824019.0,1598.0
물방울을 그리는 남자,20220418,20230504,5742300.0,684.0
뮤턴트 이스케이프,20220418,20230504,7911800.0,961.0
미녀와 야수: 마법에 걸린 왕자,20220418,20230504,35718400.0,4203.0
미니언즈2,20220418,20230504,21904781234.0,2258478.0
미시즈 해리스 파리에 가다,20220418,20230504,26918800.0,2904.0
미친 능력,20220418,20230504,6607800.0,810.0
미혹,20220418,20230504,41358894.0,5260.0
민스미트 작전,20220418,20230504,289159010.0,29580.0
바다 탐험대 옥토넛 : 탐험선 대작전,20220418,20230504,618242350.0,65303.0
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,20220418,20230504,288650400.0,32424.0
바빌론,20220418,20230504,1898582268.0,189742.0
방탄소년단: 옛 투 컴 인 시네마,20220418,20230504,1518441500.0,69025.0
배니싱: 미제사건,20220418,20230504,18220500.0,3162.0
배드 가이즈,20220418,20230504,3739330600.0,393867.0
버즈 라이트이어,20220418,20230504,3469132540.0,339469.0
범죄도시2,20220418,20230504,131221154300.0,12685994.0
베르네 부인의 장미정원,20220418,20230504,17136700.0,1801.0
